,portfolio_n,asset,price_bop,price_eop,proportion,returns
83,4,CKBBTC,0.00000026,0.00000025,0.036603872751600264,
84,4,CELOBTC,0.00009576,0.00009586,0.034754844969084465,
85,4,VIDTBTC,0.00001668,0.00001648,0.07091833991205303,
86,4,AVAXBTC,0.00093740,0.00093010,0.013064515696405724,
87,4,LUNABTC,0.00061410,0.00061590,0.06434813091561983,
88,4,SANDBTC,0.00001227,0.00001225,0.010885152275401528,
89,4,SRMBTC,0.00012510,0.00012490,0.004004035999745273,
90,4,DGBBTC,0.00000081,0.00000080,0.010958034576135929,
91,4,COSBTC,0.00000037,0.00000036,0.059554756271711785,
92,4,PIVXBTC,0.00001304,0.00001288,0.039962299215117486,
93,4,MANABTC,0.00001257,0.00001256,0.05596696370322257,
94,4,AMBBTC,0.00000059,0.00000058,0.037688361647522324,
95,4,TRXBTC,0.00000162,0.00000161,0.06546436770923576,
96,4,IOTABTC,0.00002150,0.00002140,0.002182430244394029,
97,4,AKROBTC,0.00000050,0.00000049,0.009208756696716312,
98,4,IDEXBTC,0.00000520,0.00000508,0.10439326043263643,
99,4,FTTBTC,0.00094420,0.00094220,0.0053536197021954125,
100,4,XTZBTC,0.00011478,0.00011496,0.008356461754743463,
101,4,ATOMBTC,0.00054950,0.00055010,0.009064454509675399,
102,4,FETBTC,0.00001247,0.00001221,0.022610525481484546,
103,4,SCBTC,0.00000030,0.00000029,0.08492296141698503,
104,4,BTSBTC,0.00000080,0.00000079,0.02455711716556388,
105,5,ALPACABTC,0.00001561,0.00001623,0.021894965586474243,
106,5,MDXBTC,0.00002242,0.00002216,0.04033811679129715,
107,5,CAKEBTC,0.00033100,0.00032900,0.0187619208448772,
108,5,REEFBTC,0.00000040,0.00000039,0.11888926666706819,
109,5,GOBTC,0.00000055,0.00000055,0.050846051368365695,
110,5,NASBTC,0.00000690,0.00000670,0.030751496303825388,
111,5,QLCBTC,0.00000056,0.00000055,0.020460572548523487,
112,5,XVGBTC,0.00000042,0.00000041,0.00449513830264315,
113,5,FUNBTC,0.00000036,0.00000035,0.004230424497867754,
114,5,QTUMBTC,0.00021400,0.00021400,0.009651231770514364,
115,5,C98BTC,0.00005923,0.00005900,0.012579875211506376,
116,5,LINABTC,0.00000084,0.00000084,0.16166911339894063,
117,5,STMXBTC,0.00000052,0.00000052,0.04794208724412153,
118,5,TCTBTC,0.00000053,0.00000052,0.06297738171650474,
119,5,PHBBTC,0.00000017,0.00000016,0.18033950491217426,
120,5,QKCBTC,0.00000053,0.00000052,0.13848000572672925,
121,5,CNDBTC,0.00000027,0.00000026,0.03835270554759137,
122,5,VIBBTC,0.00000093,0.00000092,0.09744614901499796,
123,5,MTHBTC,0.00000066,0.00000066,0.19884628129908874,
124,5,BAKEBTC,0.00003455,0.00003468,0.006903214451160382,
125,5,CKBBTC,0.00000026,0.00000026,0.03709400438039242,
126,5,CELOBTC,0.00009707,0.00009670,0.056328982610444805,
127,5,VIDTBTC,0.00001663,0.00001689,0.07091833991205303,
128,5,AVAXBTC,0.00092840,0.00093060,0.013064515696405724,
129,5,LUNABTC,0.00061860,0.00062050,0.06434813091561983,
130,5,SANDBTC,0.00001235,0.00001234,0.010885152275401528,
131,5,SRMBTC,0.00012520,0.00012530,0.004004035999745273,
132,5,DGBBTC,0.00000082,0.00000081,0.010958034576135929,
133,5,COSBTC,0.00000037,0.00000037,0.060215534614581824,
134,5,PIVXBTC,0.00001291,0.00001282,0.039962299215117486,
135,5,MANABTC,0.00001267,0.00001266,0.05596696370322257,
136,5,AMBBTC,0.00000059,0.00000058,0.037688361647522324,
137,5,TRXBTC,0.00000163,0.00000163,0.06546436770923576,
138,5,IOTABTC,0.00002152,0.00002176,0.002182430244394029,
139,5,AKROBTC,0.00000051,0.00000049,0.014946832428541251,
140,5,IDEXBTC,0.00000512,0.00000513,0.10439326043263643,
141,5,FTTBTC,0.00094470,0.00094690,0.0053536197021954125,
142,5,XTZBTC,0.00011593,0.00011574,0.008356461754743463,
143,5,ATOMBTC,0.00055190,0.00055440,0.009064454509675399,
144,5,FETBTC,0.00001225,0.00001226,0.022610525481484546,
145,5,SCBTC,0.00000031,0.00000030,0.05397909302874509,
146,5,BTSBTC,0.00000081,0.00000081,0.02455711716556388,
147,5,WAVESBTC,0.00051700,0.00051440,0.037498674946954184,
148,6,ALPACABTC,0.00001615,0.00001580,0.021894965586474243,
149,6,MDXBTC,0.00002218,0.00002217,0.11894499328879489,
150,6,CAKEBTC,0.00033050,0.00032760,0.0187619208448772,
151,6,REEFBTC,0.00000040,0.00000039,0.13400230711581307,
152,6,GOBTC,0.00000056,0.00000055,0.050846051368365695,
153,6,NASBTC,0.00000680,0.00000670,0.030751496303825388,
154,6,QLCBTC,0.00000056,0.00000055,0.020460572548523487,
155,6,XVGBTC,0.00000042,0.00000041,0.05581118470490173,
156,6,FUNBTC,0.00000036,0.00000035,0.08454694003782627,
157,6,QTUMBTC,0.00021470,0.00021350,0.009651231770514364,
158,6,C98BTC,0.00005955,0.00005947,0.012579875211506376,
159,6,LINABTC,0.00000085,0.00000084,0.16166911339894063,
160,6,STMXBTC,0.00000053,0.00000052,0.04794208724412153,
161,6,TCTBTC,0.00000053,0.00000052,0.03193245853105925,
162,6,PHBBTC,0.00000017,0.00000016,0.10976502998471198,
163,6,QKCBTC,0.00000053,0.00000052,0.12149222845439556,
164,6,CNDBTC,0.00000027,0.00000026,0.01939488603685538,
165,6,VIBBTC,0.00000093,0.00000092,0.09699107798733488,
166,6,MTHBTC,0.00000067,0.00000066,0.004953737275197801,
167,6,BAKEBTC,0.00003481,0.00003481,0.006903214451160382,
168,6,CKBBTC,0.00000027,0.00000026,0.03709400438039242,
169,6,CELOBTC,0.00009737,0.00009825,0.056328982610444805,
170,6,VIDTBTC,0.00001694,0.00001675,0.07091833991205303,
171,6,AVAXBTC,0.00093240,0.00092590,0.013064515696405724,
172,6,LUNABTC,0.00062410,0.00061960,0.06434813091561983,
173,6,SANDBTC,0.00001242,0.00001236,0.010885152275401528,
174,6,SRMBTC,0.00012520,0.00012500,0.0076000106462840306,
175,6,DGBBTC,0.00000082,0.00000082,0.0652248476546607,
176,6,COSBTC,0.00000038,0.00000037,0.060215534614581824,
177,6,PIVXBTC,0.00001283,0.00001287,0.039962299215117486,
178,6,MANABTC,0.00001268,0.00001265,0.05596696370322257,
179,6,AMBBTC,0.00000059,0.00000057,0.037688361647522324,
180,6,TRXBTC,0.00000164,0.00000167,0.06546436770923576,
181,6,IOTABTC,0.00002174,0.00002165,0.002182430244394029,
182,6,AKROBTC,0.00000051,0.00000050,0.014946832428541251,
183,6,IDEXBTC,0.00000514,0.00000509,0.10439326043263643,
184,6,FTTBTC,0.00094870,0.00094400,0.0053536197021954125,
185,6,XTZBTC,0.00011610,0.00011589,0.008356461754743463,
186,6,ATOMBTC,0.00055980,0.00055580,0.009064454509675399,
187,6,FETBTC,0.00001230,0.00001209,0.022610525481484546,
188,6,SCBTC,0.00000031,0.00000030,0.05397909302874509,
189,6,BTSBTC,0.00000083,0.00000081,0.02648876718628267,
190,6,WAVESBTC,0.00051760,0.00051290,0.09800003278241444,
